Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Cre07.g316000.t1.2	Cre07.g316000.t1.2	4	4	4	>Cre07.g316000.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	3	4	4	4	43.1	43.1	43.1	13.697	123	123	0	30.415	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.1	43.1	34.1	43.1	43.1	43.1	447680	85390	96280	54660	71279	82446	57620	55960	10674	12035	6832.4	8909.9	10306	7202.5	30				578	454;2590;4523;4764	True;True;True;True	478;2765;4820;5074;5075	2325;2326;2327;2328;2329;2330;2331;2332;2333;2334;2335;13928;13929;13930;13931;13932;13933;13934;24540;24541;24542;24543;24544;24545;25748;25749;25750;25751;25752;25753;25754;25755;25756;25757	2441;2442;2443;2444;2445;2446;2447;15529;15530;15531;15532;15533;15534;15535;15536;27368;27369;27370;27371;27372;27373;27374;27375;28657;28658;28659;28660;28661;28662;28663;28664	2441;15530;27373;28662	318	56
Cre07.g318450.t1.2	Cre07.g318450.t1.2	1	1	1	>Cre07.g318450.t1.2 SEC61-beta subunit of ER-translocon ALS=SEC61B DBV=JGI5.5 GN=SEC61B OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	15.2	15.2	15.2	9.4587	92	92	0	7.8943	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	15.2	0	0	15.2	15.2	15.2	30030	7156.8	0	0	6920.3	8277.8	7675.1	6006	1431.4	0	0	1384.1	1655.6	1535	3				579	6123	True	6558	33143;33144;33145;33146	36332;36333;36334	36332		
Cre07.g318750.t1.2	Cre07.g318750.t1.2	9	9	9	>Cre07.g318750.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	9	9	9	7	7	8	8	8	8	7	7	8	8	8	8	7	7	8	8	8	8	34.6	34.6	34.6	39.391	373	373	0	65.166	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.8	28.7	32.7	30.3	30.3	30.3	697320	99755	123180	132930	103940	112380	125140	29055	4156.5	5132.3	5538.7	4330.7	4682.7	5214.3	69				580	483;742;1302;2833;3245;3431;4065;6018;7252	True;True;True;True;True;True;True;True;True	511;794;1389;3022;3470;3666;4338;6447;6448;7757	2506;2507;2508;2509;2510;2511;3929;3930;3931;3932;3933;3934;7022;7023;7024;7025;7026;7027;7028;15200;15201;15202;15203;15204;15205;15206;15207;15208;15209;15210;17497;17498;17499;18490;18491;18492;18493;18494;18495;18496;18497;18498;18499;18500;22159;22160;22161;22162;22163;22164;32610;32611;32612;32613;32614;32615;39281;39282;39283	2666;2667;2668;2669;2670;4200;4201;4202;4203;4204;4205;4206;4207;4208;4209;7764;7765;7766;7767;7768;7769;7770;16964;16965;16966;16967;16968;16969;16970;16971;16972;16973;16974;19611;19612;19613;20667;20668;20669;20670;20671;20672;20673;20674;20675;20676;20677;20678;20679;20680;20681;20682;20683;20684;20685;20686;20687;20688;20689;24661;24662;24663;35744;35745;35746;35747;35748;35749;43302;43303	2668;4207;7767;16964;19611;20674;24661;35746;43302	319	253
Cre07.g321400.t1.1	Cre07.g321400.t1.1	18	18	18	>Cre07.g321400.t1.1 Flagellar Associated Protein ALS=FAP113 DBV=JGI5.5 GN=FAP113 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	18	18	18	18	16	16	17	18	17	18	16	16	17	18	17	18	16	16	17	18	17	12.1	12.1	12.1	199.24	1914	1914	0	293.44	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.1	11.3	11.2	10.5	12.1	11.7	6458300	963630	983450	1026100	1147500	1193700	1143900	100910	15057	15366	16033	17930	18652	17873	180				581	256;401;1140;1423;2917;3213;4221;5011;5331;5487;5798;6151;6306;7076;7253;7263;7339;7356	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	269;421;1219;1522;3110;3111;3436;4498;5358;5359;5728;5889;5890;6217;6590;6755;7562;7758;7770;7850;7869	1309;1310;1311;1312;1313;1314;2056;2057;2058;2059;2060;2061;6152;6153;6154;6155;6156;6157;7711;7712;7713;7714;7715;15639;15640;15641;15642;15643;15644;15645;15646;15647;15648;15649;15650;17314;17315;17316;17317;17318;17319;17320;17321;17322;17323;17324;22974;22975;22976;22977;22978;22979;22980;27091;27092;27093;27094;27095;27096;27097;27098;27099;27100;27101;27102;27103;27104;27105;28981;28982;28983;28984;28985;28986;28987;28988;28989;29809;29810;29811;29812;29813;29814;31471;31472;31473;31474;31475;31476;31477;31478;31479;31480;31481;31482;31483;33307;33308;33309;33310;33311;33312;34166;34167;34168;34169;34170;38299;38300;38301;38302;38303;39284;39285;39286;39287;39288;39289;39357;39358;39359;39360;39361;39362;39751;39752;39753;39754;39755;39842;39843;39844;39845;39846;39847;39848	1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;6814;6815;6816;6817;6818;6819;6820;6821;6822;6823;6824;8553;8554;8555;8556;8557;17478;17479;17480;17481;17482;17483;17484;17485;17486;17487;17488;17489;19418;19419;19420;19421;19422;19423;19424;19425;19426;19427;19428;19429;25578;25579;25580;25581;25582;25583;25584;25585;25586;25587;25588;25589;30155;30156;30157;30158;30159;30160;30161;30162;30163;30164;30165;30166;30167;30168;30169;32175;32176;32177;32178;32179;32180;32181;32182;32183;32184;32185;32186;32187;32188;33002;33003;33004;34494;34495;34496;34497;34498;34499;34500;34501;34502;34503;34504;34505;34506;34507;36547;36548;36549;36550;36551;36552;36553;36554;36555;36556;37488;37489;37490;37491;37492;37493;42148;42149;42150;42151;43304;43305;43306;43307;43308;43309;43310;43311;43312;43313;43314;43315;43316;43317;43318;43319;43320;43321;43322;43323;43324;43325;43326;43327;43410;43411;43412;43413;43846;43847;43848;43849;43850;43851;43852;43951;43952;43953;43954;43955;43956;43957;43958;43959;43960;43961;43962	1305;2147;6815;8554;17487;19424;25586;30162;32188;33003;34496;36553;37492;42150;43314;43413;43852;43959	320;321;322	209;249;1743
Cre07.g325400.t1.2	Cre07.g325400.t1.2	7	7	7	>Cre07.g325400.t1.2 3-Isopropylmalate dehydrogenase, splicing variant a; 3-Isopropylmalate dehydrogenase, splicing variant b ALS=LEU3 DBV=JGI5.5 GN=LEU3 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	7	7	7	6	7	6	5	6	6	6	7	6	5	6	6	6	7	6	5	6	6	19.8	19.8	19.8	42.811	400	400	0	74.96	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18	19.8	18	14.2	16.2	16.2	672480	132190	132900	79937	116510	100570	110390	24017	4720.9	4746.3	2854.9	4160.9	3591.7	3942.4	47				582	1897;2090;3575;5604;6042;7579;7668	True;True;True;True;True;True;True	2023;2227;3817;6010;6473;8103;8196	10276;10277;10278;10279;10280;11281;11282;11283;11284;11285;11286;19261;19262;19263;19264;19265;19266;30366;30367;30368;32742;32743;32744;32745;32746;32747;41059;41060;41061;41062;41063;41064;41542;41543;41544;41545;41546	11289;11290;11291;11292;11293;12482;12483;12484;12485;12486;12487;12488;12489;12490;12491;12492;12493;21557;21558;21559;21560;21561;21562;33520;33521;35870;35871;35872;35873;35874;35875;35876;35877;45237;45238;45239;45240;45241;45242;45725;45726;45727;45728;45729;45730;45731;45732	11292;12482;21559;33521;35871;45239;45731		
Cre07.g325500.t1.1	Cre07.g325500.t1.1	4	4	4	>Cre07.g325500.t1.1 Magnesium chelatase subunit H DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	2	1	1	2	1	3	2	1	1	2	1	3	2	1	1	2	1	3	3.1	3.1	3.1	154.27	1399	1399	0	8.641	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	1.6	0.8	0.8	1.4	0.8	2.3	26967	4520.4	4304.7	4014.6	3587.6	3629	6910.8	317.26	53.181	50.644	47.231	42.207	42.694	81.304	5				583	1162;1394;3212;3817	True;True;True;True	1241;1491;3435;4079	6267;6268;6269;6270;6271;6272;7563;17313;20634;20635	6944;6945;8371;19417;23136;23137	6945;8371;19417;23136	323	1116
Cre07.g325600.t1.1	Cre07.g325600.t1.1	1	1	1	>Cre07.g325600.t1.1 Glutaredoxin, CGFS type ALS=GRX5 DBV=JGI5.5 GN=GRX5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	9.3	9.3	9.3	17.246	161	161	0	3.904	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	0	9.3	0	9.3	9.3	9.3	18123	0	4826.7	0	4694.7	4292.2	4309.8	1812.3	0	482.67	0	469.47	429.22	430.98	2				584	3293	True	3518	17714;17715;17716;17717	19841;19842	19842		
Cre07.g325734.t1.1	Cre07.g325734.t1.1	7	5	5	>Cre07.g325734.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	7	5	5	6	7	5	6	7	6	4	5	3	4	5	4	4	5	3	4	5	4	43.8	28.4	28.4	18.054	162	162	0	38.628	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.3	43.8	34.6	40.1	43.8	40.1	913540	119490	163660	70475	183820	196120	179980	76129	9957.1	13638	5872.9	15319	16344	14998	38				585	1378;2264;2776;3035;4903;4988;5358	True;True;False;True;True;False;True	1474;2421;2963;3236;5221;5326;5327;5758	7462;7463;7464;7465;7466;7467;7468;7469;7470;7471;7472;7473;12215;12216;12217;12218;12219;12220;14913;14914;14915;14916;14917;14918;16311;16312;16313;16314;26490;26491;26492;26951;26952;26953;26954;26955;26956;26957;26958;26959;26960;26961;26962;29134;29135;29136;29137;29138;29139;29140;29141;29142;29143;29144;29145	8267;8268;8269;8270;8271;8272;8273;13486;13487;13488;13489;13490;13491;13492;16629;16630;16631;16632;16633;16634;16635;16636;16637;16638;16639;16640;18225;18226;18227;18228;18229;18230;18231;29556;29557;29558;29559;29560;30005;30006;30007;30008;30009;30010;30011;30012;30013;30014;30015;30016;30017;30018;30019;30020;30021;30022;30023;30024;30025;30026;30027;30028;30029;30030;30031;30032;32327;32328;32329;32330;32331;32332;32333;32334;32335;32336;32337;32338	8273;13489;16637;18225;29560;30023;32328	324	101
Cre07.g325736.t1.1	Cre07.g325736.t1.1	17	17	17	>Cre07.g325736.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	17	17	17	14	13	14	15	13	14	14	13	14	15	13	14	14	13	14	15	13	14	33.6	33.6	33.6	56.209	530	530	0	135.36	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.5	27.9	28.3	29.2	26.8	29.6	1630100	256210	267850	270820	282110	274120	279030	45282	7117	7440.3	7522.8	7836.3	7614.5	7750.9	100				586	116;365;410;551;568;907;1406;1838;3732;3788;4839;5568;5795;6460;6811;6812;6833	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	120;384;430;584;601;971;1504;1963;3985;4046;5154;5974;6212;6918;7287;7288;7311	565;566;567;568;569;570;1863;1864;1865;1866;1867;2090;2091;2092;2093;2094;2095;2879;2880;2881;2882;2883;2884;2971;2972;2973;2974;2975;2976;2977;2978;2979;2980;2981;2982;4824;4825;7624;7625;7626;7627;7628;7629;9980;9981;9982;9983;9984;9985;20136;20137;20138;20139;20140;20141;20464;20465;20466;20467;20468;20469;26140;26141;26142;26143;26144;26145;30194;30195;30196;31437;31438;31439;31440;31441;35000;35001;35002;35003;35004;35005;35006;36871;36872;36873;36874;36992;36993;36994;36995	553;554;555;556;1883;1884;1885;1886;2173;2174;2175;2176;2177;2178;3089;3090;3091;3092;3093;3094;3095;3096;3097;3098;3099;3100;3196;3197;3198;3199;3200;3201;3202;3203;5159;5160;8446;8447;8448;8449;8450;8451;8452;8453;8454;8455;8456;8457;8458;8459;8460;10995;10996;10997;10998;10999;11000;11001;11002;11003;22531;22532;22533;22534;22535;22536;22907;22908;22909;29126;29127;29128;29129;29130;29131;33347;34451;34452;34453;34454;34455;34456;34457;34458;34459;34460;38447;38448;38449;38450;38451;38452;38453;38454;38455;40592;40593;40594;40595;40714;40715;40716	554;1886;2178;3095;3198;5160;8455;10995;22536;22908;29127;33347;34452;38450;40593;40595;40716		
Cre07.g325746.t1.1	Cre07.g325746.t1.1	2	2	2	>Cre07.g325746.t1.1 Ribosomal protein L38, component of cytosolic 80S ribosome and 60S large subunit ALS=RPL38 DBV=JGI5.5 GN=RPL38 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	2	27.5	27.5	27.5	7.8172	69	69	0	34.107	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.5	10.1	27.5	10.1	10.1	27.5	641130	105650	96677	108910	111240	104890	113750	128230	21131	19335	21783	22247	20979	22750	25				587	1245;5603	True;True	1328;6009	6699;6700;6701;6702;6703;6704;6705;30362;30363;30364;30365	7417;7418;7419;7420;7421;7422;7423;7424;7425;7426;7427;7428;7429;7430;33509;33510;33511;33512;33513;33514;33515;33516;33517;33518;33519	7418;33514		
Cre07.g325755.t1.1	Cre07.g325755.t1.1	4	4	4	>Cre07.g325755.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	27.2	27.2	27.2	13.762	125	125	0	5.6902	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.6	12	12	19.2	20	20	239700	42344	36392	34673	55959	33860	36475	21791	3849.4	3308.4	3152.1	5087.2	3078.1	3315.9	11				588	1579;5505;7900;7915	True;True;True;True	1691;5909;8445;8462	8631;8632;29893;29894;29895;42723;42724;42725;42726;42727;42728;42820;42821;42822;42823;42824	9623;9624;33077;33078;46986;47075;47076;47077;47078;47079;47080	9623;33077;46986;47077		
Cre07.g326950.t1.1	Cre07.g326950.t1.1	4	4	4	>Cre07.g326950.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	26.7	26.7	26.7	24.729	251	251	0	12.773	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.4	10.4	17.9	15.1	14.3	15.1	93081	10716	8874.6	18118	22808	9122	23443	6205.4	714.4	591.64	1207.8	1520.5	608.13	1562.9	5				589	1;516;3446;5416	True;True;True;True	1;546;3681;5816	3;2671;18570;18571;29409;29410;29411;29412;29413;29414	3;2828;20746;20747;32607	3;2828;20747;32607		
Cre07.g327079.t1.2	Cre07.g327079.t1.2	1	1	1	>Cre07.g327079.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	4.5	4.5	4.5	36.55	358	358	0	2.9892	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	0	0	0	4.5	4.5	0	2365.2	0	0	0	1153.3	1211.9	0	131.4	0	0	0	64.07	67.327	0	2				590	685	True	722	3557;3558	3813;3814	3813		
Cre07.g327350.t1.2	Cre07.g327350.t1.2	2	2	2	>Cre07.g327350.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16.9	16.9	16.9	19.806	178	178	0	46.598	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.9	16.9	16.9	16.9	16.9	16.9	227480	38490	41866	45435	43314	22840	35534	20680	3499	3806	4130.5	3937.6	2076.3	3230.4	12				591	5090;5316	True;True	5471;5713	27643;27644;27645;27646;27647;27648;28894;28895;28896;28897;28898;28899;28900;28901	30722;30723;30724;32082;32083;32084;32085;32086;32087;32088;32089;32090	30722;32086		
Cre07.g327400.t1.1	Cre07.g327400.t1.1	4	4	4	>Cre07.g327400.t1.1 NADH:ubiquinone oxidoreductase ND9 subunit ALS=NUO9 DBV=JGI5.5 GN=NUO9 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	2	2	1	3	3	2	2	2	1	3	3	2	2	2	1	3	3	2	15.6	15.6	15.6	32.141	282	282	0	26.824	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.2	8.2	4.6	12.8	11	8.2	145500	33857	32153	20317	17041	15157	26971	9699.8	2257.1	2143.6	1354.5	1136.1	1010.4	1798.1	13				592	1324;6941;7497;7689	True;True;True;True	1413;7420;8018;8217	7127;37528;37529;37530;37531;37532;40636;40637;40638;40639;40640;41629;41630	7882;41259;41260;41261;41262;41263;44816;44817;44818;44819;44820;45849;45850	7882;41260;44818;45849		
Cre07.g328150.t2.1;Cre07.g328150.t1.1	Cre07.g328150.t2.1;Cre07.g328150.t1.1	2;2	2;2	2;2	>Cre07.g328150.t2.1 Protein disulfide isomerase ALS=PDI4 DBV=JGI5.5 GN=PDI4 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre07.g328150.t1.1 Protein disulfide isomerase ALS=PDI4 DBV=JGI5.5 GN=PDI4 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	2	2	2	2	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	3.5	3.5	3.5	48.524	453	453;453	0.009894	1.8855	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	0	2	0	2	0	1.5	9135.1	0	4286.6	0	4848.4	0	0	351.35	0	164.87	0	186.48	0	0	2				593	2093;2979	True;True	2230;3179	11295;11296;16042	12498;17924	12498;17924		
Cre07.g328200.t1.2	Cre07.g328200.t1.2	6	6	6	>Cre07.g328200.t1.2 Lumen targeted protein ALS=PSBP6 DBV=JGI5.5 GN=PSBP6 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	5	6	5	5	5	5	5	6	5	5	5	5	5	6	5	5	5	5	24.3	24.3	24.3	33.102	304	304	0	42.024	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.1	24.3	17.4	21.1	21.1	21.1	415370	68301	88361	75094	52258	60246	71107	23076	3794.5	4908.9	4171.9	2903.2	3347	3950.4	26				594	1293;2267;2369;3834;6773;7858	True;True;True;True;True;True	1380;2424;2532;4096;7246;8398	6967;6968;6969;6970;6971;12227;12228;12781;12782;12783;12784;12785;12786;20724;20725;20726;20727;20728;20729;20730;36657;36658;36659;36660;36661;36662;42497;42498;42499;42500;42501;42502;42503	7715;7716;13498;14149;14150;14151;14152;14153;14154;14155;14156;23226;23227;23228;23229;23230;23231;40302;40303;40304;40305;46763;46764;46765;46766;46767;46768;46769;46770	7716;13498;14149;23229;40304;46768		
Cre07.g328900.t1.2	Cre07.g328900.t1.2	1	1	1	>Cre07.g328900.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	3.3	3.3	3.3	53.984	484	484	0	3.021	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	0	3.3	3.3	3.3	3.3	3.3	39819	0	7343.1	7049.5	8757.8	8695.6	7972.5	1327.3	0	244.77	234.98	291.93	289.85	265.75	4				595	1296	True	1383	6989;6990;6991;6992;6993	7731;7732;7733;7734	7734		
Cre07.g329650.t1.2	Cre07.g329650.t1.2	4	4	4	>Cre07.g329650.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	4	4	4	2	4	1	2	3	3	2	4	1	2	3	3	2	4	1	2	3	3	34.1	34.1	34.1	23.486	214	214	0	8.4756	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15	34.1	10.3	22	29.4	29.4	56993	8831.5	13427	4862.8	7101.3	14722	8048.9	4384.1	679.35	1032.8	374.06	546.25	1132.5	619.15	10				596	145;239;671;7355	True;True;True;True	150;250;706;7868	722;723;1200;1201;1202;1203;3470;3471;3472;3473;3474;3475;39839;39840;39841	714;1189;1190;1191;3700;3701;3702;3703;43948;43949;43950	714;1191;3701;43949		
Cre07.g330200.t1.2	Cre07.g330200.t1.2	6	6	6	>Cre07.g330200.t1.2 Radial spoke protein 9 ALS=RSP9 DBV=JGI5.5 GN=RSP9 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	4	1	4	3	6	4	4	1	4	3	6	4	4	1	4	3	6	4	33.8	33.8	33.8	29.545	269	269	0	13.056	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.4	5.6	26.4	20.1	33.8	24.5	166870	42956	9772.4	31058	19086	36486	27512	7946.2	2045.5	465.35	1479	908.84	1737.5	1310.1	15				597	1680;1883;2611;3187;6829;7603	True;True;True;True;True;True	1799;2009;2786;3406;7307;8127	9173;9174;9175;10198;10199;14027;14028;14029;14030;14031;14032;17190;17191;36968;36969;36970;36971;36972;36973;41195;41196;41197;41198	10182;10183;11201;11202;15615;15616;15617;15618;15619;15620;19274;19275;40690;40691;45373	10183;11202;15618;19274;40690;45373		
Cre07.g330250.t1.2	Cre07.g330250.t1.2	3	3	3	>Cre07.g330250.t1.2 Subunit H of photosystem I ALS=PSAH DBV=JGI5.5 GN=PSAH OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	31.5	31.5	31.5	14.151	130	130	0	140.86	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.5	25.4	25.4	31.5	31.5	31.5	5427700	950920	531990	588110	1141800	1094600	1120200	603080	105660	59111	65346	126870	121620	124470	40				598	1124;2455;7691	True;True;True	1200;2625;8219;8220;8221	6055;6056;6057;6058;13229;13230;13231;13232;13233;13234;41635;41636;41637;41638;41639;41640;41641;41642;41643;41644;41645;41646	6683;6684;6685;6686;6687;6688;6689;6690;6691;6692;6693;14665;14666;14667;14668;14669;14670;14671;14672;14673;14674;14675;14676;14677;14678;14679;14680;14681;14682;45853;45854;45855;45856;45857;45858;45859;45860;45861;45862;45863	6686;14675;45857	325;326	44;53
Cre07.g331550.t1.2	Cre07.g331550.t1.2	13	13	13	>Cre07.g331550.t1.2 Phosphoserine aminotransferase ALS=PST1 DBV=JGI5.5 GN=PST1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	13	13	13	10	10	11	10	10	8	10	10	11	10	10	8	10	10	11	10	10	8	42.7	42.7	42.7	44.129	405	405	0	87.354	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	36	36	38	33.6	35.1	27.9	1233100	157840	221140	212810	228550	223660	189100	41103	5261.4	7371.2	7093.6	7618.5	7455.5	6303.4	76				599	121;299;434;461;865;1865;4303;5986;5990;6472;6940;7169;7714	True;True;True;True;True;True;True;True;True;True;True;True;True	126;314;456;485;924;925;1991;4584;6411;6412;6416;6930;7419;7661;8246	600;601;602;603;604;605;1534;1535;1536;1537;1538;1539;2211;2212;2213;2214;2215;2216;2359;2360;2361;2362;2363;2364;4577;4578;4579;4580;4581;4582;10115;23363;23364;23365;23366;23367;23368;23369;32437;32438;32439;32440;32441;32442;32443;32444;32445;32446;32447;32462;35057;35058;35059;35060;35061;35062;37523;37524;37525;37526;37527;38807;38808;38809;38810;38811;41752	590;591;592;593;594;595;596;597;598;599;600;601;1547;1548;1549;1550;2316;2317;2318;2319;2320;2321;2322;2478;2479;2480;2481;2482;2483;2484;2485;4892;4893;4894;4895;4896;4897;4898;11126;26067;26068;26069;26070;26071;26072;26073;35554;35555;35556;35557;35558;35559;35560;35561;35583;38531;38532;38533;38534;38535;38536;38537;38538;38539;38540;38541;38542;41254;41255;41256;41257;41258;42746;42747;42748;45985	599;1548;2317;2478;4893;11126;26069;35559;35583;38533;41254;42747;45985	327;328	339;384
Cre07.g331900.t1.2	Cre07.g331900.t1.2	6	6	6	>Cre07.g331900.t1.2 Ribosomal protein S13, component of cytosolic 80S ribosome and 40S small subunit ALS=RPS13 DBV=JGI5.5 GN=RPS13 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	5	6	4	6	6	5	5	6	4	6	6	5	5	6	4	6	6	5	46.4	46.4	46.4	17.119	151	151	0	135.84	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39.1	46.4	27.8	46.4	46.4	41.7	2252500	310500	393740	371150	437480	440260	299380	250280	34501	43749	41239	48609	48918	33264	68				600	882;1498;2729;3056;4394;7687	True;True;True;True;True;True	944;1606;2913;2914;3267;3268;4685;8215	4673;4674;4675;4676;4677;4678;8160;8161;8162;8163;8164;8165;8166;8167;8168;8169;14680;14681;14682;14683;14684;14685;14686;14687;16485;16486;16487;16488;16489;16490;16491;16492;16493;16494;16495;16496;23885;23886;23887;23888;23889;41619;41620;41621;41622	4976;4977;4978;4979;4980;4981;4982;4983;4984;9037;9038;9039;9040;9041;9042;9043;9044;9045;9046;9047;9048;9049;9050;9051;9052;9053;9054;9055;9056;9057;16375;16376;16377;16378;16379;16380;16381;18428;18429;18430;18431;18432;18433;18434;18435;18436;18437;18438;18439;18440;18441;18442;18443;18444;18445;26606;26607;26608;26609;26610;26611;45836;45837;45838;45839;45840;45841;45842	4980;9043;16377;18443;26610;45837	329;330	45;91
